id,plant_label,timestamp,soil_moisture_pct,temperature_c,humidity_pct,light_level_pct,action_water,action_reduce_temp,action_increase_light,recommendation_summary,request_id,risk_class
224,PrayerPlant,2026-06-05 16:55:38.770244+00,57.9,23.4,53.6,0,false,false,true,predWaterMin=17995.5 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780678534,0
225,PrayerPlant,2026-06-05 17:26:33.920208+00,48.1,23.6,59,1.56,false,false,true,predWaterMin=10007.4 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],0,0
226,PeaceLily,2026-06-05 19:53:07.844504+00,60.44,22.7,62.1,0,false,false,true,predWaterMin=499.3 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780689183,0
227,PrayerPlant,2026-06-05 20:26:43.45575+00,100,23.4,58.5,0,false,false,true,predWaterMin=1267.9 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780691199,0
228,PeaceLily,2026-06-05 22:53:07.80557+00,59.22,22.6,61.7,0,false,false,true,predWaterMin=4721.8 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780699983,0
229,PrayerPlant,2026-06-05 23:26:43.130536+00,100,23.2,54.9,0,false,false,true,predWaterMin=10746.8 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780701999,0
230,PeaceLily,2026-06-06 01:53:07.43902+00,58.39,22.4,60.8,0,false,false,true,predWaterMin=4975.9 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780710783,0
231,PrayerPlant,2026-06-06 02:26:42.880834+00,100,23.1,53.1,0,false,false,true,predWaterMin=10732.6 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780712798,0
232,PeaceLily,2026-06-06 04:53:07.256112+00,57.95,22.3,60.3,39.49,false,false,false,predWaterMin=4412.4 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780721583,0
233,PrayerPlant,2026-06-06 05:26:42.623147+00,100,23,52.6,6.89,false,false,true,predWaterMin=10945.2 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780723598,0
234,PeaceLily,2026-06-06 07:53:06.936755+00,57.71,22.4,60.5,57.85,false,false,false,predWaterMin=4508.6 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780732382,0
235,PrayerPlant,2026-06-06 08:26:42.756824+00,68.05,23.2,52.6,14.97,false,false,true,predWaterMin=21600.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780734398,0
236,PeaceLily,2026-06-06 10:53:06.737414+00,57.22,22.6,53.7,62.47,false,false,false,predWaterMin=5025.5 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780743182,0
237,PrayerPlant,2026-06-06 11:26:42.126031+00,69.07,23.4,45.8,15.53,false,false,true,predWaterMin=16777.2 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780745198,0
238,PeaceLily,2026-06-06 13:53:06.37416+00,56.63,22.7,53.2,58.46,false,false,false,predWaterMin=5218.6 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780753982,0
239,PrayerPlant,2026-06-06 14:26:41.752349+00,69.85,23.5,43.6,4.44,false,false,true,predWaterMin=15844.9 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780755997,0
240,PeaceLily,2026-06-06 16:53:06.138175+00,56.73,22.4,58,42.83,false,false,false,predWaterMin=5378.8 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780764782,0
241,PrayerPlant,2026-06-06 17:26:41.664309+00,70.59,23.2,50.2,0.34,false,false,true,predWaterMin=15110.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780766797,0
242,PeaceLily,2026-06-06 19:53:05.921794+00,56.2,22.4,61.1,0.95,false,false,true,predWaterMin=5373.1 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780775581,0
243,PrayerPlant,2026-06-06 20:26:41.450332+00,71.27,23.2,53.9,0,false,false,true,predWaterMin=14769.9 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780777597,0
244,PeaceLily,2026-06-06 22:53:05.608752+00,56.29,22.4,57.9,0,false,false,true,predWaterMin=4510.8 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780786381,0
245,PrayerPlant,2026-06-06 23:26:41.210467+00,70.68,22.9,50,0,false,false,true,predWaterMin=12300.8 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780788397,0
246,PeaceLily,2026-06-07 01:53:05.537547+00,56,22.1,54.4,0,false,false,true,predWaterMin=3965.9 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780797181,0
247,PrayerPlant,2026-06-07 02:26:40.881297+00,70.83,22.4,47.5,0,false,false,true,predWaterMin=13013.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780799196,0
248,PeaceLily,2026-06-07 04:53:05.08874+00,56,21.8,56.6,10.18,false,false,true,predWaterMin=3718.6 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780807981,0
249,PrayerPlant,2026-06-07 05:26:48.046892+00,71.61,22.3,49.8,0,false,false,true,predWaterMin=13924.2 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780810003,0
250,PeaceLily,2026-06-07 07:53:04.773641+00,55.56,21.9,57.5,57.39,false,false,false,predWaterMin=4294.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780818780,0
251,PrayerPlant,2026-06-07 08:26:40.328201+00,71.51,22.5,51.3,8.69,false,false,true,predWaterMin=12770.4 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780820796,0
252,PeaceLily,2026-06-07 10:53:04.532684+00,55.32,21.9,57,53.53,false,false,false,predWaterMin=4283.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780829580,0
253,PrayerPlant,2026-06-07 11:26:40.229981+00,71.27,22.6,50.1,8.64,false,false,true,predWaterMin=12649.3 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780831596,0
254,PeaceLily,2026-06-07 13:53:04.302378+00,54.73,22,56.3,52.55,false,false,false,predWaterMin=6087.4 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780840380,0
255,PrayerPlant,2026-06-07 14:26:39.977695+00,70.05,22.7,48.4,8.23,false,false,true,predWaterMin=11234.1 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780842395,0
256,PeaceLily,2026-06-07 16:53:04.096462+00,54.59,21.9,57.3,38.29,false,false,false,predWaterMin=5860.7 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780851180,0
257,PrayerPlant,2026-06-07 17:26:39.723249+00,71.8,22.6,49.7,1.95,false,false,true,predWaterMin=14955.9 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780853195,0
258,PeaceLily,2026-06-07 19:53:03.987291+00,54.83,21.8,58.4,0,false,false,true,predWaterMin=5516.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780861979,0
259,PrayerPlant,2026-06-07 20:26:39.762369+00,70.88,22.5,51.9,0,false,false,true,predWaterMin=11733.1 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780863995,0
260,PeaceLily,2026-06-07 22:53:03.544944+00,54.78,21.8,61.3,0,false,false,true,predWaterMin=5175.8 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780872779,0
261,PrayerPlant,2026-06-07 23:26:39.787409+00,71.17,22.6,52.7,0,false,false,true,predWaterMin=13822.8 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780874795,0
262,PeaceLily,2026-06-08 01:53:03.371812+00,54.39,21.8,60.2,0,false,false,true,predWaterMin=5144.5 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780883579,0
263,PrayerPlant,2026-06-08 02:26:38.881786+00,70.34,22.5,51.8,0,false,false,true,predWaterMin=11751.8 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780885594,0
264,PeaceLily,2026-06-08 04:53:03.036247+00,54.78,21.7,58.5,40.17,false,false,false,predWaterMin=3281.6 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780894378,0
265,PrayerPlant,2026-06-08 05:26:38.747808+00,71.27,22.4,51.1,6.64,false,false,true,predWaterMin=14212.8 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780896394,0
266,PeaceLily,2026-06-08 07:53:02.789616+00,54.63,21.8,62,60.63,false,false,false,predWaterMin=4750.3 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780905178,0
267,PrayerPlant,2026-06-08 08:26:38.435063+00,71.07,22.6,53.7,14.36,false,false,true,predWaterMin=12719.8 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780907194,0
268,PeaceLily,2026-06-08 10:53:02.425085+00,54.24,22,57.5,56.26,false,false,false,predWaterMin=5512.7 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780915978,0
269,PrayerPlant,2026-06-08 11:26:38.264726+00,71.95,22.9,48.6,14.29,false,false,true,predWaterMin=14226.6 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780917994,0
270,PrayerPlant,2026-06-08 13:19:01.503003+00,71.12,23.3,50.9,12.14,false,false,true,predWaterMin=11332.8 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780924737,0
